1;1.75E-006 
2;5.59E-006 
3;7.86E-009 
4;-4.37E-011 
5;-4.70E-010 
6;-2.17E-010 
7;-1.75E-010 
8;5.58E-010 
9;3.40E-011 
10;8.41E-011 
11;3.21E-008 
12;1.69E-006 
13;5.89E-008 
14;2.04E-007 
15;4.48E-007 
16;5.92E-006 
17;9.22E-006 
18;4.48E-005 
19;5.69E-007 
20;1.14E-007 
21;1.28E-008 
22;7.60E-007 
23;1.13E-008 
24;1.22E-008 
25;4.65E-008 
26;2.59E-007 
27;4.81E-007 
28;1.16E-005 
29;9.77E-007 
30;1.12E-006 
31;9.75E-008 
32;2.37E-006 
33;9.39E-009 
34;1.33E-008 
35;1.18E-009 
36;1.03E-008 
37;1.18E-008 
38;2.29E-008 
39;8.33E-008 
40;1.19E-007 
41;1.61E-007 
42;1.34E-007 
43;1.77E-006 
44;6.55E-005 
45;1.41E-006 
46;3.12E-007 
47;9.16E-009 
48;2.13E-008 
49;2.83E-009 
50;1.80E-008 
51;6.92E-009 
52;8.66E-009 
53;7.38E-009 
54;7.48E-009 
55;2.11E-008 
56;2.88E-008 
57;1.30E-008 
58;2.10E-008 
59;1.74E-009 
60;3.83E-009 
61;1.15E-009 
62;1.86E-009 
63;1.90E-009 
64;5.53E-008 
65;2.42E-009 
