1;2.48E-006 
2;2.79E-006 
3;3.09E-009 
4;2.94E-010 
5;-1.50E-010 
6;-1.89E-010 
7;-8.25E-011 
8;-7.77E-011 
9;6.55E-011 
10;-1.15E-010 
11;9.09E-010 
12;1.47E-007 
13;1.21E-008 
14;1.09E-007 
15;6.28E-008 
16;5.94E-007 
17;3.71E-006 
18;1.47E-005 
19;1.56E-007 
20;3.69E-008 
21;1.58E-009 
22;2.22E-008 
23;7.56E-010 
24;3.12E-009 
25;1.01E-008 
26;4.84E-008 
27;9.86E-008 
28;2.77E-006 
29;2.17E-007 
30;2.38E-007 
31;1.42E-008 
32;5.32E-007 
33;2.74E-009 
34;2.29E-009 
35;4.47E-010 
36;3.54E-009 
37;3.95E-009 
38;7.97E-009 
39;2.83E-008 
40;6.32E-008 
41;4.57E-008 
42;3.43E-008 
43;1.12E-007 
44;2.81E-006 
45;4.81E-008 
46;1.24E-008 
47;9.19E-010 
48;1.47E-008 
49;7.81E-010 
50;3.82E-009 
51;3.06E-009 
52;2.12E-009 
53;3.88E-009 
54;3.41E-009 
55;9.67E-009 
56;8.77E-009 
57;5.01E-009 
58;6.12E-009 
59;3.98E-010 
60;6.33E-010 
61;7.44E-011 
62;1.42E-010 
63;6.63E-010 
64;2.43E-008 
65;1.13E-009 
