#date: 26.11.2020	time: 20:03:06
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
1.72053E+2	6.75179E-2	5.38008E-3	4.67833E-1	1.44320E-1	3.15871E-2	3.00038E+2
1.72706E+2	6.75327E-2	5.38014E-3	4.67838E-1	1.44351E-1	3.15944E-2	3.00093E+2
1.73426E+2	6.75231E-2	5.38129E-3	4.67938E-1	1.44299E-1	3.15966E-2	3.00000E+2
1.74153E+2	6.75416E-2	5.37924E-3	4.67760E-1	1.44394E-1	3.15932E-2	3.00172E+2
1.74873E+2	6.75174E-2	5.37832E-3	4.67680E-1	1.44367E-1	3.15765E-2	3.00122E+2
1.75594E+2	6.75263E-2	5.37817E-3	4.67667E-1	1.44390E-1	3.15798E-2	3.00165E+2
1.76313E+2	6.75647E-2	5.38008E-3	4.67833E-1	1.44420E-1	3.16090E-2	3.00220E+2
1.77033E+2	6.75399E-2	5.37998E-3	4.67824E-1	1.44370E-1	3.15968E-2	3.00129E+2
1.77752E+2	6.75517E-2	5.37905E-3	4.67744E-1	1.44420E-1	3.15969E-2	3.00220E+2
1.78373E+2	6.75409E-2	5.37850E-3	4.67696E-1	1.44412E-1	3.15886E-2	3.00205E+2
1.78972E+2	6.75253E-2	5.37667E-3	4.67537E-1	1.44428E-1	3.15705E-2	3.00233E+2
1.79572E+2	6.75298E-2	5.37827E-3	4.67675E-1	1.44395E-1	3.15820E-2	3.00173E+2
1.80272E+2	6.75621E-2	5.37933E-3	4.67768E-1	1.44435E-1	3.16034E-2	3.00247E+2
1.80994E+2	6.81276E-2	5.41878E-3	4.71198E-1	1.44584E-1	3.21016E-2	3.00517E+2
1.81712E+2	7.26216E-2	5.77717E-3	5.02363E-1	1.44560E-1	3.64824E-2	3.00474E+2
1.82433E+2	7.59021E-2	6.04281E-3	5.25462E-1	1.44449E-1	3.98837E-2	3.00271E+2
1.83152E+2	7.70988E-2	6.13558E-3	5.33528E-1	1.44507E-1	4.11344E-2	3.00378E+2
1.83872E+2	7.70868E-2	6.13469E-3	5.33451E-1	1.44506E-1	4.11221E-2	3.00375E+2
1.84592E+2	7.70856E-2	6.13001E-3	5.33044E-1	1.44614E-1	4.10900E-2	3.00572E+2
1.85285E+2	7.70603E-2	6.13003E-3	5.33046E-1	1.44566E-1	4.10767E-2	3.00485E+2
1.85884E+2	7.70615E-2	6.13038E-3	5.33077E-1	1.44560E-1	4.10797E-2	3.00474E+2
1.86491E+2	7.70954E-2	6.12946E-3	5.32996E-1	1.44645E-1	4.10916E-2	3.00629E+2
1.87211E+2	7.70790E-2	6.12880E-3	5.32940E-1	1.44630E-1	4.10785E-2	3.00601E+2
1.87932E+2	7.70583E-2	6.12920E-3	5.32974E-1	1.44582E-1	4.10700E-2	3.00514E+2
1.88652E+2	7.70963E-2	6.13173E-3	5.33194E-1	1.44593E-1	4.11073E-2	3.00535E+2
1.89372E+2	7.71010E-2	6.13078E-3	5.33111E-1	1.44625E-1	4.11034E-2	3.00592E+2
1.90091E+2	7.71207E-2	6.13197E-3	5.33214E-1	1.44634E-1	4.11219E-2	3.00608E+2
1.90811E+2	7.98191E-2	6.35890E-3	5.52948E-1	1.44352E-1	4.41358E-2	3.00096E+2
1.91524E+2	8.35576E-2	6.64358E-3	5.77703E-1	1.44638E-1	4.82715E-2	3.00615E+2
1.92244E+2	8.58041E-2	6.82062E-3	5.93097E-1	1.44671E-1	5.08902E-2	3.00676E+2
1.92924E+2	8.66371E-2	6.88712E-3	5.98880E-1	1.44665E-1	5.18853E-2	3.00665E+2
1.93631E+2	8.66522E-2	6.88540E-3	5.98730E-1	1.44727E-1	5.18813E-2	3.00777E+2
1.94350E+2	8.66402E-2	6.88473E-3	5.98672E-1	1.44721E-1	5.18691E-2	3.00766E+2
1.95071E+2	8.66392E-2	6.88239E-3	5.98469E-1	1.44768E-1	5.18509E-2	3.00852E+2
1.95791E+2	8.66441E-2	6.88279E-3	5.98504E-1	1.44768E-1	5.18568E-2	3.00852E+2
1.96510E+2	8.66485E-2	6.88270E-3	5.98496E-1	1.44777E-1	5.18588E-2	3.00869E+2
