#date: 26.11.2020	time: 20:46:11
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
2.47740E+2	2.78099E+0	1.95799E-2	1.70260E+0	1.63338E+0	4.73493E+0	4.10485E+2
2.48461E+2	2.78088E+0	1.95795E-2	1.70257E+0	1.63335E+0	4.73464E+0	4.10478E+2
2.49180E+2	2.78063E+0	1.95788E-2	1.70251E+0	1.63326E+0	4.73405E+0	4.10455E+2
2.49901E+2	2.78071E+0	1.95801E-2	1.70262E+0	1.63320E+0	4.73449E+0	4.10441E+2
2.50620E+2	2.78091E+0	1.95795E-2	1.70257E+0	1.63336E+0	4.73469E+0	4.10481E+2
2.51341E+2	2.78060E+0	1.95785E-2	1.70248E+0	1.63327E+0	4.73393E+0	4.10457E+2
2.52060E+2	2.78105E+0	1.95777E-2	1.70240E+0	1.63360E+0	4.73447E+0	4.10541E+2
2.52780E+2	2.78181E+0	1.95781E-2	1.70245E+0	1.63401E+0	4.73589E+0	4.10643E+2
2.53439E+2	2.78187E+0	1.95789E-2	1.70252E+0	1.63398E+0	4.73618E+0	4.10635E+2
2.54040E+2	2.78278E+0	1.95791E-2	1.70253E+0	1.63450E+0	4.73776E+0	4.10767E+2
2.54670E+2	2.78344E+0	1.95793E-2	1.70255E+0	1.63487E+0	4.73894E+0	4.10861E+2
2.55389E+2	2.78268E+0	1.95796E-2	1.70258E+0	1.63440E+0	4.73773E+0	4.10741E+2
2.56110E+2	2.78106E+0	1.95799E-2	1.70260E+0	1.63342E+0	4.73502E+0	4.10496E+2
2.56830E+2	2.77913E+0	1.95808E-2	1.70268E+0	1.63221E+0	4.73195E+0	4.10192E+2
2.57550E+2	2.77828E+0	1.95804E-2	1.70265E+0	1.63174E+0	4.73042E+0	4.10073E+2
2.58269E+2	2.77770E+0	1.95806E-2	1.70266E+0	1.63139E+0	4.72950E+0	4.09984E+2
2.58979E+2	2.77769E+0	1.95797E-2	1.70258E+0	1.63146E+0	4.72924E+0	4.10003E+2
2.59699E+2	2.77865E+0	1.95782E-2	1.70245E+0	1.63214E+0	4.73052E+0	4.10175E+2
2.60419E+2	2.78086E+0	1.95787E-2	1.70250E+0	1.63340E+0	4.73441E+0	4.10491E+2
