#date: 26.11.2020	time: 19:16:50
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
3.50310E+2	1.58164E+1	1.02178E-2	8.51485E-1	1.85751E+1	1.34674E+1	7.11129E+2
3.51018E+2	1.58165E+1	1.02233E-2	8.51944E-1	1.85652E+1	1.34748E+1	7.10676E+2
3.51738E+2	1.58153E+1	1.02402E-2	8.53354E-1	1.85331E+1	1.34960E+1	7.09204E+2
3.52458E+2	1.58152E+1	1.02402E-2	8.53347E-1	1.85332E+1	1.34959E+1	7.09206E+2
3.53177E+2	1.58164E+1	1.02287E-2	8.52390E-1	1.85554E+1	1.34818E+1	7.10227E+2
3.53890E+2	1.58164E+1	1.02140E-2	8.51169E-1	1.85820E+1	1.34624E+1	7.11446E+2
3.54609E+2	1.58166E+1	1.02023E-2	8.50188E-1	1.86036E+1	1.34471E+1	7.12438E+2
3.55329E+2	1.58168E+1	1.02171E-2	8.51424E-1	1.85769E+1	1.34668E+1	7.11213E+2
3.56048E+2	1.58164E+1	1.02116E-2	8.50967E-1	1.85863E+1	1.34592E+1	7.11645E+2
3.56768E+2	1.58183E+1	1.01994E-2	8.49951E-1	1.86109E+1	1.34448E+1	7.12770E+2
3.57488E+2	1.58191E+1	1.01806E-2	8.48381E-1	1.86463E+1	1.34206E+1	7.14393E+2
3.58198E+2	1.58195E+1	1.01592E-2	8.46598E-1	1.86860E+1	1.33928E+1	7.16217E+2
3.58917E+2	1.58191E+1	1.01385E-2	8.44873E-1	1.87236E+1	1.33651E+1	7.17941E+2
3.59637E+2	1.58216E+1	1.01235E-2	8.43626E-1	1.87543E+1	1.33475E+1	7.19347E+2
3.60358E+2	1.58219E+1	1.01014E-2	8.41785E-1	1.87956E+1	1.33186E+1	7.21243E+2
3.61068E+2	1.58210E+1	1.01067E-2	8.42226E-1	1.87847E+1	1.33248E+1	7.20744E+2
3.61788E+2	1.58212E+1	1.01102E-2	8.42518E-1	1.87785E+1	1.33296E+1	7.20456E+2
3.62508E+2	1.58214E+1	1.01140E-2	8.42832E-1	1.87717E+1	1.33348E+1	7.20148E+2
3.63229E+2	1.58224E+1	1.01111E-2	8.42589E-1	1.87783E+1	1.33318E+1	7.20451E+2
3.63948E+2	1.58203E+1	1.01233E-2	8.43607E-1	1.87532E+1	1.33461E+1	7.19298E+2
3.64667E+2	1.58204E+1	1.01414E-2	8.45119E-1	1.87197E+1	1.33701E+1	7.17761E+2
3.65387E+2	1.58188E+1	1.01437E-2	8.45307E-1	1.87137E+1	1.33718E+1	7.17488E+2
3.66096E+2	1.58181E+1	1.01618E-2	8.46813E-1	1.86795E+1	1.33949E+1	7.15918E+2
3.66816E+2	1.58168E+1	1.01938E-2	8.49483E-1	1.86193E+1	1.34361E+1	7.13159E+2
3.67456E+2	1.58165E+1	1.01942E-2	8.49518E-1	1.86182E+1	1.34364E+1	7.13106E+2
3.68167E+2	1.58171E+1	1.01830E-2	8.48583E-1	1.86394E+1	1.34221E+1	7.14077E+2
3.68887E+2	1.58184E+1	1.01713E-2	8.47607E-1	1.86624E+1	1.34078E+1	7.15133E+2
3.69608E+2	1.58180E+1	1.01779E-2	8.48158E-1	1.86499E+1	1.34162E+1	7.14559E+2
3.70328E+2	1.58169E+1	1.02063E-2	8.50524E-1	1.85967E+1	1.34526E+1	7.12119E+2
3.71046E+2	1.58174E+1	1.02200E-2	8.51668E-1	1.85723E+1	1.34712E+1	7.11001E+2
3.71767E+2	1.58143E+1	1.02214E-2	8.51787E-1	1.85660E+1	1.34704E+1	7.10712E+2
3.72487E+2	1.58129E+1	1.02189E-2	8.51571E-1	1.85691E+1	1.34658E+1	7.10854E+2
3.73196E+2	1.58134E+1	1.02100E-2	8.50832E-1	1.85858E+1	1.34545E+1	7.11621E+2
3.73895E+2	1.46518E+1	9.49885E-3	7.91571E-1	1.85098E+1	1.15980E+1	7.08136E+2
3.74495E+2	1.20644E+1	8.02580E-3	6.68817E-1	1.80384E+1	8.06884E+0	6.86514E+2
3.75107E+2	8.98660E+0	6.12742E-3	5.10618E-1	1.75995E+1	4.58873E+0	6.66384E+2
3.75826E+2	3.84148E+0	3.91392E-3	3.26160E-1	1.17779E+1	1.25294E+0	3.99389E+2
3.76796E+2	1.45588E+0	1.33880E-3	1.11567E-1	1.30494E+1	1.62427E-1	4.57704E+2
3.77516E+2	5.45568E-3	2.62690E-5	2.18908E-3	2.49222E+0	1.19429E-5	-2.64814E+1
3.78736E+2	3.17197E-3	5.49182E-6	4.57652E-4	6.93096E+0	1.45166E-6	1.77093E+2
3.79456E+2	2.22281E-3	4.36513E-6	3.63761E-4	6.11065E+0	8.08574E-7	1.39471E+2
3.80176E+2	1.69908E-3	4.04168E-6	3.36807E-4	5.04468E+0	5.72262E-7	9.05822E+1
3.80897E+2	1.36618E-3	4.35884E-6	3.63237E-4	3.76114E+0	4.96248E-7	3.17149E+1
3.81617E+2	1.13961E-3	3.97827E-6	3.31522E-4	3.43751E+0	3.77806E-7	1.68724E+1
3.82337E+2	9.76759E-4	2.79517E-6	2.32931E-4	4.19334E+0	2.27517E-7	5.15371E+1
3.83056E+2	8.66519E-4	2.97658E-6	2.48048E-4	3.49335E+0	2.14938E-7	1.94334E+1
3.83785E+2	7.70489E-4	3.51895E-6	2.93246E-4	2.62745E+0	2.25943E-7	-2.02796E+1
3.84506E+2	6.92315E-4	2.23008E-6	1.85840E-4	3.72532E+0	1.28660E-7	3.00723E+1
3.85226E+2	6.25101E-4	2.59353E-6	2.16127E-4	2.89228E+0	1.35101E-7	-8.13347E+0
3.85946E+2	5.74631E-4	2.31437E-6	1.92864E-4	2.97946E+0	1.10826E-7	-4.13500E+0
3.86665E+2	5.31421E-4	2.44118E-6	2.03432E-4	2.61228E+0	1.08108E-7	-2.09751E+1
3.87385E+2	4.94189E-4	2.79024E-6	2.32520E-4	2.12536E+0	1.14909E-7	-4.33069E+1
3.88096E+2	4.62121E-4	2.88989E-6	2.40824E-4	1.91891E+0	1.11290E-7	-5.27752E+1
3.88815E+2	4.32552E-4	2.31402E-6	1.92835E-4	2.24312E+0	8.34113E-8	-3.79061E+1
3.89535E+2	4.08117E-4	1.22498E-6	1.02081E-4	3.99796E+0	4.16611E-8	4.25762E+1
3.90184E+2	3.89271E-4	1.48450E-6	1.23708E-4	3.14668E+0	4.81561E-8	3.53406E+0
3.90905E+2	3.68899E-4	2.45910E-6	2.04925E-4	1.80016E+0	7.55968E-8	-5.82214E+1
3.91624E+2	3.49053E-4	3.12655E-6	2.60546E-4	1.33970E+0	9.09442E-8	-7.93397E+1
3.92345E+2	3.31664E-4	3.33004E-6	2.77503E-4	1.19517E+0	9.20379E-8	-8.59682E+1
3.93065E+2	3.17697E-4	2.14864E-6	1.79053E-4	1.77431E+0	5.68848E-8	-5.94070E+1
3.93784E+2	3.02990E-4	2.18956E-6	1.82463E-4	1.66055E+0	5.52846E-8	-6.46244E+1
3.94504E+2	2.90809E-4	1.84602E-6	1.53835E-4	1.89039E+0	4.47366E-8	-5.40833E+1
3.95224E+2	2.79828E-4	2.61176E-6	2.17646E-4	1.28570E+0	6.09035E-8	-8.18164E+1
3.95934E+2	2.67754E-4	1.70146E-6	1.41789E-4	1.88840E+0	3.79644E-8	-5.41746E+1
3.96614E+2	2.61069E-4	2.39587E-6	1.99656E-4	1.30759E+0	5.21239E-8	-8.08123E+1
3.97215E+2	2.52780E-4	2.24536E-6	1.87114E-4	1.35094E+0	4.72986E-8	-7.88241E+1
3.97904E+2	2.45518E-4	2.36236E-6	1.96864E-4	1.24715E+0	4.83336E-8	-8.35845E+1
3.98624E+2	2.36055E-4	2.46435E-6	2.05362E-4	1.14946E+0	4.84768E-8	-8.80650E+1
3.99344E+2	2.28130E-4	1.67339E-6	1.39449E-4	1.63594E+0	3.18125E-8	-6.57533E+1
4.00064E+2	2.19921E-4	2.53762E-6	2.11469E-4	1.03997E+0	4.65064E-8	-9.30863E+1
4.00785E+2	2.14784E-4	2.54023E-6	2.11686E-4	1.01464E+0	4.54668E-8	-9.42482E+1
4.01503E+2	2.09188E-4	9.67110E-7	8.05925E-5	2.59562E+0	1.68590E-8	-2.17392E+1
4.02224E+2	2.02074E-4	2.12169E-6	1.76807E-4	1.14291E+0	3.57282E-8	-8.83654E+1
4.02933E+2	1.96820E-4	7.65795E-7	6.38163E-5	3.08417E+0	1.25603E-8	6.66956E-1
4.03574E+2	1.93406E-4	1.49722E-6	1.24768E-4	1.55013E+0	2.41309E-8	-6.96889E+1
4.04174E+2	1.87869E-4	2.78905E-6	2.32421E-4	8.08313E-1	4.36647E-8	-1.03711E+2
4.04774E+2	1.84127E-4	1.90458E-6	1.58715E-4	1.16011E+0	2.92238E-8	-8.75762E+1
4.05483E+2	1.80053E-4	8.22951E-7	6.85792E-5	2.62548E+0	1.23479E-8	-2.03698E+1
4.06203E+2	1.74535E-4	1.71862E-6	1.43218E-4	1.21867E+0	2.49967E-8	-8.48907E+1
4.06924E+2	1.71264E-4	1.48708E-6	1.23923E-4	1.38202E+0	2.12235E-8	-7.73990E+1
