x	        y		z
0.09608529	0.19557196	0.85695125
0.06483822	0.20384615	0.88075545
0.04038116	0.22083333	0.90455965
0.02214145	0.24200913	0.92836385
0.00961708	0.29281768	0.95216805
0.00236653	0.40458015	0.97597225
0.00000020	0.73611111	0.99977646
0.00217324	1.00000000	1.02358066
0.00857957	0.50476191	1.04738486
0.01894671	0.32515337	1.07118906
0.03303147	0.25603865	1.09499326
0.05061629	0.21991701	1.11879746
0.07150598	0.20229008	1.14260166
0.09552510	0.19064748	1.16640586
0.12251557	0.18150685	1.19021007

