0.203	6.0	0.001	0.5
0.200	6.0	0.001	0.5
0.208	7.0	0.001	0.5
0.203	7.0	0.001	0.5
0.207	6.0	0.001	0.5
0.283	8.0	0.001	0.5
0.266	8.0	0.001	0.5
0.286	7.0	0.001	0.5
0.269	8.0	0.001	0.5
0.273	8.0	0.001	0.5
0.522	10.0	0.001	0.5
0.524	11.0	0.001	0.5
0.519	10.0	0.001	0.5
0.521	9.0	0.001	0.5
0.520	10.0	0.001	0.5
0.684	10.0	0.001	0.5
0.687	12.0	0.001	0.5
0.682	11.0	0.001	0.5
0.680	11.0	0.001	0.5
0.685	11.0	0.001	0.5
0.762	12.0	0.001	0.5
0.754	11.0	0.001	0.5
0.752	10.0	0.001	0.5
0.757	11.0	0.001	0.5
0.754	11.0	0.001	0.5
0.856	11.0	0.001	0.5
0.855	12.0	0.001	0.5
0.851	11.0	0.001	0.5
0.852	11.0	0.001	0.5
0.854	11.0	0.001	0.5
1.092	9.0	0.001	0.5
1.072	10.0	0.001	0.5
1.100	10.0	0.001	0.5
1.098	10.0	0.001	0.5
1.082	9.0	0.001	0.5
